y_offset,z_offset,pitch,yaw,ik_code,state_valid,contacts,distance_from_original_contact
0.0,0.0,-179.9,95.0,1,True,,0.0
0.0,0.0,-179.9,100.0,1,True,,0.0
0.0,0.0,-175.0,90.0,1,True,,0.0
0.0,0.0,-175.0,95.0,1,True,,0.0
0.0,0.0,-175.0,100.0,1,True,,0.0
0.0,0.0,-170.0,90.0,1,True,,0.0
0.0,0.0,-170.0,95.0,1,True,,0.0
0.0,0.0,-170.0,100.0,1,True,,0.0
0.0,0.0,-165.0,90.0,1,True,,0.0
0.0,0.0,-165.0,95.0,1,True,,0.0
0.0,0.0,-165.0,100.0,1,True,,0.0
0.0,0.0,-160.0,90.0,1,True,,0.0
0.0,0.0,-160.0,95.0,1,True,,0.0
0.0,0.0,-160.0,100.0,1,True,,0.0
0.0,0.0,-155.0,90.0,1,True,,0.0
0.0,0.0,-155.0,95.0,1,True,,0.0
0.0,0.0,-155.0,100.0,1,True,,0.0
0.0,0.0,-150.0,90.0,1,True,,0.0
0.0,0.0,-150.0,95.0,1,True,,0.0
0.0,0.0,-150.0,100.0,1,True,,0.0
-0.005,0.0,-179.9,90.0,1,True,,0.005
0.0,0.005,-179.9,90.0,1,True,,0.005
-0.005,0.0,-179.9,95.0,1,True,,0.005
0.0,0.005,-179.9,95.0,1,True,,0.005
0.005,0.0,-179.9,95.0,1,True,,0.005
-0.005,0.0,-179.9,100.0,1,True,,0.005
0.0,0.005,-179.9,100.0,1,True,,0.005
0.005,0.0,-179.9,100.0,1,True,,0.005
-0.005,0.0,-175.0,90.0,1,True,,0.005
0.0,0.005,-175.0,90.0,1,True,,0.005
-0.005,0.0,-175.0,95.0,1,True,,0.005
0.0,0.005,-175.0,95.0,1,True,,0.005
0.005,0.0,-175.0,95.0,1,True,,0.005
-0.005,0.0,-175.0,100.0,1,True,,0.005
0.0,0.005,-175.0,100.0,1,True,,0.005
0.005,0.0,-175.0,100.0,1,True,,0.005
-0.005,0.0,-170.0,90.0,1,True,,0.005
0.0,0.005,-170.0,90.0,1,True,,0.005
-0.005,0.0,-170.0,95.0,1,True,,0.005
0.0,0.005,-170.0,95.0,1,True,,0.005
0.005,0.0,-170.0,95.0,1,True,,0.005
